india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
indias new prime minister narendra modi is meeting his japanese counterpart shinzo abe in tokyo to discuss economic and security ties on his first major foreign visit since winning mays election	indiens neuer premierminister narendra modi trifft bei seinem ersten wichtigen auslandsbesuch seit seinem wahlsieg im mai seinen japanischen amtskollegen shinzo abe in toko um wirtschaftliche und sicherheitspolitische beziehungen zu besprechen
mr modi is on a fiveday trip to japan to strengthen economic ties with the third largest economy in the world	herr modi befindet sich auf einer funftagigen reise nach japan um die wirtschaftlichen beziehungen mit der drittgroten wirtschaftsnation der welt zu festigen
high on the agenda are plans for greater nuclear cooperation	plane fur eine starkere kerntechnische zusammenarbeit stehen ganz oben auf der tagesordnung
india is also reportedly hoping for a deal on defence collaboration between the two nations	berichten zufolge hofft indien daruber hinaus auf einen vertrag zur verteidigungszusammenarbeit zwischen den beiden nationen
karratha police arrest after high speed motorcycle chase	polizei von karratha verhaftet nach schneller motorradjagd
a motorcycle has been seized after it was ridden at in a zone and through bushland to escape police in the pilbara	ein motorrad wurde beschlagnahmt nachdem der fahrer es mit kmh in einer kmhzone und durch buschland gefahren hatte um der polizei in bilbara zu entkommen
traffic police on patrol in karratha this morning tried to pull over a blue motorcycle when they spotted it reaching as it pulled out of a service station on bathgate road	verkehrspolizisten in karratha versuchten heute morgen ein blaues motorrad zu stoppen nachdem sie es dabei beobachtet hatten wie es mit kmh eine tankstelle auf der bathdate road verlie
police say the rider then failed to stop and continued on to burgess road before turning into bushland causing the officers to lose sight of it	die polizei berichtet dass der fahrer die haltesignale dann ignorierte und weiter auf der burgess road fuhr bevor er in das buschland abbog wo die beamten es aus den augen verloren
the motorcycle and a person matching the description of the rider was then spotted at a house on walcott way in bulgarra	das motorrad sowie eine person die der beschreibung des fahrers entsprach wurden spater bei einem haus im walcott way in bulgarra gesehen
karratha police have charged a man with failing to stop and reckless driving	die polizei von karratha beschuldigt einen mann der nichtbeachtung eines haltesignals sowie rucksichtslosen fahrens
he is due to appear in karratha magistrates court on september	er soll am september vor dem amtsgericht in karratha erscheinen
the motorcycle was seized and impounded for three months	das motorrad wurde sichergestellt und fur drei monate beschlagnahmt
george webster accused of nairn and pitlochry hotel rapes	george webster wegen hotelvergewaltigungen in naim und pitlochry angeklagt
a man is to stand trial accused of raping women at two hotels	ein mann steht wegen der vergewaltigung von frauen in zwei hotels vor gericht
george webster faced the charges during a hearing at the high court in glasgow	george webster wurde die anklage bei einer anhorung von dem obersten gericht in glasgow verlesen
he is alleged to have raped a woman at the scotlands hotel in pitlochry in perthshire on june	er wird beschuldigt am juni eine frau im scotlands hotel in pitlochry in perthshire vergewaltigt zu haben
it is claimed webster attacked her while she was unconscious asleep and incapable of giving consent	die anklage lautet dass webster sie angriff wahrend sie bewusstlos war schlief und kein einverstandnis signalisieren konnte
webster is then charged with raping a second woman at the golf view hotel in nairn in the highlands on may	webster wird daruber hinaus vorgeworfen am mai eine zweite frau im golf view hotel in naim im schottischen hochland vergewaltigt zu haben
judge lady rae set a trial date for november at the high court in edinburgh	richterin lady rae setzte den verhandlungstermin fur den november am obersten gericht in edinburgh an
reconnecting with the very american ideal that labor rights are human rights	ruckbesinnung auf das sehr amerikanische ideal der arbeitsrechte als menschenrechte
congressmen keith ellison and john lewis have proposed legislation to protect union organizing as a civil right	die kongressabgeordneten keith ellison und john lewis haben einen gesetzesvorschlag eingebracht um die organisation von gewerkschaften als burgerrecht zu etablieren
as go unions so go middleclass jobs says ellison the minnesota democrat who serves as a congressional progressive caucus cochair	so wie gewerkschaften sterben sterben auch die mittelklassejobs sagte ellison ein demokrat aus minnesota und stellvertretender vorsitzender des progressive caucus im kongress
thats why im proud to introduce the employee empowerment act with civil rights icon john lewis	daher stelle ich stolz gemeinsam mit der burgerrechtsikone john lewis das mitarbeiterermachtigungsgesetz vor
this groundbreaking legislation will give workers the same legal options for union organizing discrimination as for other forms of discrimination stopping antiunion forces in their tracks	dieses bahnbrechende gesetz gibt arbeitern die gleichen rechtlichen moglichkeiten bei diskriminierung wegen der organisation von gewerkschaften wie bei anderen formen der diskriminierung und stoppt so antigewerkschaftlich eingestellte krafte
amending the national labor relations act to allow workers who face discrimination for engaging in union organizing to sue for justice in the civil courts and to collect compensatory and punitive damages is a sound and necessary initiative	die erganzung des nationalen arbeitsrechtsgesetzes um eine moglichkeit fur einer diskriminierung ausgesetzte arbeitern zur organisation einer gewerkschaftsvertretung zu schaffen um vor einem zivilgericht um gerechtigkeit zu klagen und um schadensersatz oder strafgelder zu erhalten ist eine sinnvolle und notwendige initiative
but it in certainly not a radical initiative at least by american standards	aber es ist mit sicherheit keine radikale initiative jedenfalls nicht nach amerikanischen standards
indeed the best way to understand what ellison lewis and the cosponsors of their legislation are proposing is as a reconnection with a very american idea	tatsachlich ist die beste art und weise zum verstandnis dessen was ellison lewis und die weiteren sponsoren ihrer gesetzesvorlage vorschlagen die verbindung zuruck zu einer sehr amerikanischen idee
despite the battering that unions have taken in recent years in wisconsin michigan and states across the country americans once encouraged countries around the world to embrace extend and respect labor rights	trotz der ruckschlage denen die gewerkschaften in den vergangenen jahren ausgesetzt waren in wisconsin michigan und anderen staaten im ganzen land haben amerikaner einst lander in aller welt dazu ermutigt arbeitsrechte anzuerkennen auszuweiten und einzuhalten
there was a time within the living memory of millions of americans when this country championed democracy freedom of speech freedom of the press and the right to organize in the same breath	es gab eine zeit an die sich millionen von amerikanern noch erinnern als dieses land demokratie redefreiheit pressefreiheit und das vereinigungsrecht in einem atemzug nannte
when the united states occupied japan after world war ii general douglas macarthur and his aides encouraged the country to adopt a constitution designed to assure that hideki tojos militarized autocracy would be replaced with democracy	als die vereinigten staaten nach dem zweiten weltkrieg japan besetzte ermutigten general douglas mac arthur und sein stab das land dazu eine verfassung zu verabschieden die sicherstellen solle dass die militarisierte autokratie hedki tojos durch demokratie ersetzt wurde
fully aware that workers and their unions had a role to play in shaping the new japan they included language that explicitly recognized that the right of workers to organize and to bargain and act collectively is guaranteed	in vollem bewusstsein dessen dass die arbeiter und ihre gewerkschaften bei der schaffung eines neuen japan eine rolle einnahmen verwendeten sie eine sprache die explizit anerkannte dass die rechte der arbeiter auf vereinigung und gemeinsames verhandeln und handeln garantiert sind
when the united states occupied germany after world war ii general dwight david eisenhower and his aides urged the germans to write a constitution that would assure that adolf hitlers fascism was replaced with muscular democracy	als die vereinigten staaten nach dem zweiten weltkrieg deutschland besetzen drangten general dwight david eisenhower und sein stab die deutschen eine verfassung zu schreiben die dafur sorgen wurde dass der faschismus adolf hitlers durch eine starke demokratie ersetzt wurde
recognizing that workers would need to organize and make their voices heard in the new nation the germans included a provision that explicitly declared the right to form associations to safeguard and improve working and economic conditions shall be guaranteed to every individual and to every occupation or profession	in anerkennung der tatsache dass die arbeiter sich wurden organisieren mussen und ihre stimme in der neuen nation erheben sollten fugten die deutschen eine klausel ein die explizit aussagte das recht vereinigungen zu grunden um die arbeits und wirtschaftlichen bedingungen zu sichern und zu verbessern wird jedem einzelnen und jedem beruf oder gewerbe garantiert
agreements that restrict or seek to impair this right shall be null and void measures directed to this end shall be unlawful	vereinbarungen die dieses recht einschranken oder darauf abzielen es zu schmalern sind null und nichtig darauf abzielende manahmen sind ungesetzlich
when former first lady eleanor roosevelt chaired the international commission on human rights which drafted the universal declaration of human rights that would in be adopted by the united nations as a global covenant roosevelt and the drafters included a guarantee that everyone has the right to form and to join trade unions for the protection of his interests	als die fruhere first lady eleanor roosevelt den vorsitz uber die internationale menschenrechtskommission innehatte von der die allgemeine erklarung der menschenrechte entworfen wurde wie sie von den vereinten nationen als weltweites abkommen ubernommen wurde fugten roosevelt und die anderen verfasser eine garantie ein dass jeder das recht hat gewerkschaften zum schutze seiner interessen zu bilden oder ihnen beizutreten
